customer_id,customer_fname,customer_lname,customer_email,customer_pwd,customer_street,customer_city,customer_state,zip_code,number_of_orders,voice_mail_active
1,Richard,Hernandez,XXXXXXXXX,XXXXXXXXX,6303 Heather Plaza,Brownsville,TX,78521,25,yes
2,Mary,Barrett,XXXXXXXXX,XXXXXXXXX,9526 Noble Embers Ridge,Littleton,CO,80126,26,yes
3,Ann,Smith,XXXXXXXXX,XXXXXXXXX,3422 Blue Pioneer Bend,Caguas,PR,725,0,no
4,Mary,Jones,XXXXXXXXX,XXXXXXXXX,8324 Little Common,San Marcos,CA,92069,0,no
5,Robert,Hudson,XXXXXXXXX,XXXXXXXXX,10 Crystal River Mall,Caguas,PR,725,0,no
6,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3151 Sleepy Quail Promenade,Passaic,NJ,7055,0,no
7,Melissa,Wilcox,XXXXXXXXX,XXXXXXXXX,9453 High Concession,Caguas,PR,725,24,yes
8,Megan,Smith,XXXXXXXXX,XXXXXXXXX,3047 Foggy Forest Plaza,Lawrence,MA,1841,0,no
9,Mary,Perez,XXXXXXXXX,XXXXXXXXX,3616 Quaking Street,Caguas,PR,725,0,no
10,Melissa,Smith,XXXXXXXXX,XXXXXXXXX,8598 Harvest Beacon Plaza,Stafford,VA,22554,37,yes
11,Mary,Huffman,XXXXXXXXX,XXXXXXXXX,3169 Stony Woods,Caguas,PR,725,0,no
12,Christopher,Smith,XXXXXXXXX,XXXXXXXXX,5594 Jagged Embers By-pass,San Antonio,TX,78227,0,no
13,Mary,Baldwin,XXXXXXXXX,XXXXXXXXX,7922 Iron Oak Gardens,Caguas,PR,725,0,no
14,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,5666 Hazy Pony Square,Pico Rivera,CA,90660,0,no
15,Jane,Luna,XXXXXXXXX,XXXXXXXXX,673 Burning Glen,Fontana,CA,92336,0,no
16,Tiffany,Smith,XXXXXXXXX,XXXXXXXXX,6651 Iron Port,Caguas,PR,725,0,no
17,Mary,Robinson,XXXXXXXXX,XXXXXXXXX,1325 Noble Pike,Taylor,MI,48180,27,yes
18,Robert,Smith,XXXXXXXXX,XXXXXXXXX,2734 Hazy Butterfly Circle,Martinez,CA,94553,0,no
19,Stephanie,Mitchell,XXXXXXXXX,XXXXXXXXX,3543 Red Treasure Bay,Caguas,PR,725,33,yes
20,Mary,Ellis,XXXXXXXXX,XXXXXXXXX,4703 Old Route,West New York,NJ,7093,0,no
21,William,Zimmerman,XXXXXXXXX,XXXXXXXXX,3323 Old Willow Mall,Caguas,PR,725,0,no
22,Joseph,Smith,XXXXXXXXX,XXXXXXXXX,7740 Broad Fox Villas,North Bergen,NJ,7047,0,no
23,Benjamin,Duarte,XXXXXXXXX,XXXXXXXXX,8811 High Horse Impasse,San Juan,PR,921,0,no
24,Mary,Smith,XXXXXXXXX,XXXXXXXXX,9417 Emerald Towers,Caguas,PR,725,0,no
25,Paul,Richardson,XXXXXXXXX,XXXXXXXXX,318 Merry Creek Mountain,Peoria,AZ,85345,0,no
26,Johnny,Hood,XXXXXXXXX,XXXXXXXXX,9576 Middle Hills Round,Glenview,IL,60025,0,no
27,Mary,Vincent,XXXXXXXXX,XXXXXXXXX,1768 Sleepy Zephyr Place,Caguas,PR,725,39,yes
28,Timothy,Smith,XXXXXXXXX,XXXXXXXXX,9366 Colonial Horse Close,Longview,WA,98632,0,no
29,Mary,Humphrey,XXXXXXXXX,XXXXXXXXX,2469 Blue Brook Crossing,Fort Worth,TX,76133,0,no
30,Barbara,Smith,XXXXXXXXX,XXXXXXXXX,2455 Merry Hollow,Caguas,PR,725,0,no
31,Mary,Byrd,XXXXXXXXX,XXXXXXXXX,8259 Foggy Edge,Albuquerque,NM,87111,0,no
32,Alice,Smith,XXXXXXXXX,XXXXXXXXX,2082 Hidden Green,Caguas,PR,725,0,no
33,Adam,Petersen,XXXXXXXXX,XXXXXXXXX,9768 Noble Horse Heights,Norfolk,VA,23503,0,no
34,Mary,Smith,XXXXXXXXX,XXXXXXXXX,3330 Easy Berry Range,Caguas,PR,725,0,no
35,Margaret,Wright,XXXXXXXXX,XXXXXXXXX,9456 Sleepy Jetty,Oceanside,CA,92056,25,yes
36,Michelle,Carey,XXXXXXXXX,XXXXXXXXX,6336 Fallen Village,Caguas,PR,725,37,yes
37,Virginia,Conrad,XXXXXXXXX,XXXXXXXXX,6115 Indian Beacon Close,Norfolk,VA,23503,30,yes
38,Mary,Smith,XXXXXXXXX,XXXXXXXXX,2805 Crystal Moor,Opelousas,LA,70570,0,no
39,Juan,Mckinney,XXXXXXXXX,XXXXXXXXX,7274 Blue Wagon  Villas,Caguas,PR,725,33,yes
40,Mary,Smith,XXXXXXXXX,XXXXXXXXX,7358 Rocky Villas,Long Beach,CA,90805,0,no
41,Victoria,Mason,XXXXXXXXX,XXXXXXXXX,7869 Crystal View Villas,Brooklyn,NY,11230,0,no
42,Ethan,Smith,XXXXXXXXX,XXXXXXXXX,7533 Thunder Wagon  Beach,Duluth,GA,30096,41,yes
43,Mary,Herring,XXXXXXXXX,XXXXXXXXX,4575 Thunder Dale,Caguas,PR,725,0,no
44,Howard,Smith,XXXXXXXXX,XXXXXXXXX,1356 Easy Plaza,Napa,CA,94558,0,no
45,Mary,Nunez,XXXXXXXXX,XXXXXXXXX,1229 Bright Robin Corners,Denver,CO,80231,0,no
46,Jennifer,Smith,XXXXXXXXX,XXXXXXXXX,5463 Rocky Autoroute,Freeport,NY,11520,28,yes
47,Lori,Fuller,XXXXXXXXX,XXXXXXXXX,357 Noble Lane,Caguas,PR,725,0,no
48,Mary,Cowan,XXXXXXXXX,XXXXXXXXX,1040 Hazy Timber Lookout,Strongsville,OH,44136,0,no
49,Martha,Smith,XXXXXXXXX,XXXXXXXXX,7449 Merry Chase,Caguas,PR,725,0,no
50,Mary,Kim,XXXXXXXXX,XXXXXXXXX,938 Rustic Pine Ridge,San Bernardino,CA,92410,24,yes
51,Jessica,Smith,XXXXXXXXX,XXXXXXXXX,8344 Dewy Fawn Farms,Caguas,PR,725,0,no
52,Mary,Lawson,XXXXXXXXX,XXXXXXXXX,65 Silent Inlet,Chicago,IL,60622,0,no
53,Katherine,Smith,XXXXXXXXX,XXXXXXXXX,975 Honey Loop,Roswell,GA,30075,0,no
54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,7333 Cinder Way,Caguas,PR,725,0,no
55,Janet,Farley,XXXXXXXXX,XXXXXXXXX,6512 Middle Parade,Phoenix,AZ,85029,0,no
56,Mary,Kaiser,XXXXXXXXX,XXXXXXXXX,7554 Stony Goose Crossing,Caguas,PR,725,0,no
57,Mary,Smith,XXXXXXXXX,XXXXXXXXX,57 High Villas,Baltimore,MD,21229,0,no
58,Michael,Edwards,XXXXXXXXX,XXXXXXXXX,4770 Blue Pines,Caguas,PR,725,30,yes
